quaycode,quayname,quaystatus,transportmode,lat,lon,visuallyaccessible,disabledaccessible,compassdirection,validfrom,quayshapetype,baylength,markedkerb,lift,guidelines,groundsurfaceindicator,stopplaceaccessroute,mutationdate,kerbheight,boardingpositionwidth,alightingpositionwidth,liftedpartlength,narrowestpassagewidth,fulllengthguideline,guidelinestopplaceconnection,tactilegroundsurfaceindicator,ramp,heightwithenvironment,bayentranceangles,ramplength,rampwidth,embaymentwidth,bayexitangles
NL:Q:30009175,James Wattstraat,available,bus,52.351525942582285,4.9228294659470855,true,true,301,2020-05-24T22:00:00Z,langshalte,20.4,true,false,true,true,true,2021-01-08T13:34:25Z,0.2,3,3.9,17,1.8,true,true,true,false,0,,,,,
NL:Q:30009176,James Wattstraat,available,bus,52.35115008513883,4.923244363512828,true,true,121,2020-05-24T22:00:00Z,langshalte,20.6,true,false,true,true,true,2021-01-08T13:34:25Z,0.2,2.5,3.8,17,1.5,true,true,true,false,0,,,,,
NL:Q:57232530,L. Armstrongstraat,outofuse,bus,52.34239169240396,4.82484097403545,false,false,261,2019-03-01T00:00:00Z,langshalte,20.68,true,false,false,false,true,2021-02-25T11:33:45Z,0.09,2.88,3.1,0.01,1.75,false,false,false,false,0,0.01,,,,
NL:Q:57232540,L. Armstrongstraat,outofuse,bus,52.34244937935428,4.825632667435789,false,false,82,2019-03-01T00:00:00Z,langshalte,11.45,false,false,false,false,true,2021-02-25T11:33:45Z,0.1,2.36,2.41,0.01,0.96,false,false,false,false,0,0.01,,,,
NL:Q:30008086,Keizersgracht,outofuse,tram,52.36421018978859,4.892408465723861,false,false,199,2019-03-01T00:00:00Z,langshalte,84.48,false,false,false,false,false,2021-02-25T11:33:45Z,0.1,1.22,1.22,0.01,0.62,false,false,false,false,0.1,0.01,,,,
NL:Q:30008087,Keizersgracht,outofuse,tram,52.364570479680125,4.892595309973942,false,false,19,2019-03-01T00:00:00Z,langshalte,64.4,false,false,false,false,false,2021-02-25T11:33:45Z,0.11,1.16,1.16,0.01,0.6,false,false,false,false,0,0.01,,,,
NL:Q:30009170,Victorieplein,plan,bus,52.34552411323916,4.905340422169105,false,false,161,,,,,,,,,,,,,,,,,,,,,,,,
NL:Q:30009171,Victorieplein,plan,bus,52.34550745273413,4.905663463019382,false,false,345,,,,,,,,,,,,,,,,,,,,,,,,
NL:Q:30009009,Victorieplein,plan,bus,52.346167015204124,4.904306145236603,false,false,261,,,,,,,,,,,,,,,,,,,,,,,,
NL:Q:30009052,Victorieplein,outofuse,bus,52.34629120290439,4.9061099067249865,false,false,76,2019-03-01T00:00:00Z,unknown,0,false,false,false,false,false,2021-02-25T11:33:45Z,,,,,,false,false,false,false,,,,,,
NL:Q:30009048,Victorieplein,available,tram,52.3465927116991,4.905108683248177,false,false,158,2019-03-14T00:00:00Z,langshalte,65,true,false,false,false,false,2021-01-08T13:34:25Z,0.2,1.5,1.5,61,1,false,false,false,false,,,,,,
NL:Q:30009051,Victorieplein,available,tram,52.34642762340945,4.906504673417657,true,true,82,2019-03-14T00:00:00Z,langshalte,65,true,false,true,true,false,2021-01-08T13:34:25Z,0.19,1.8,2.1,61,1.2,true,true,true,true,0.14,,1.75,2.8,,
NL:Q:30009049,Victorieplein,available,tram,52.34637053727102,4.905727477575176,false,false,262,2019-03-14T00:00:00Z,langshalte,64,true,false,false,false,false,2021-01-08T13:34:25Z,0.1,1.23,1.2,61,0.95,false,false,false,true,0.1,,2,1,,
NL:Q:30009050,Victorieplein,available,tram,52.347077550337495,4.904986008970442,false,false,339,2019-03-14T00:00:00Z,langshalte,65,true,false,false,false,false,2021-01-08T13:34:25Z,0.2,1.2,1.6,61,1.1,false,false,false,true,0.07,,2.4,1.9,,
NL:Q:30000186,Geinbrug,available,bus,52.304462398836925,5.0130957855543326,false,false,298,2019-02-07T00:00:00Z,haltehaven,13.2,true,false,false,false,true,2021-02-08T19:49:57Z,0.2,1.1,1.4,11.4,1,false,false,false,false,0,24,,1.2,3.27,16.6
NL:Q:30000187,Geinbrug,available,bus,52.304479213894574,5.01272909880271,false,true,117,2019-02-07T00:00:00Z,haltehaven,16,true,false,false,false,true,2021-02-08T19:49:57Z,0.21,4,4,14,4,false,false,false,true,0.2,19,2,1.5,3.2,15
NL:Q:30000307,Leerdamhof,available,bus,52.30743313408164,4.9740237458576,false,false,32,2020-05-24T22:00:00Z,haltehaven,21.5,true,false,false,false,true,2021-01-08T13:34:25Z,0.2,2.7,3,18,1.5,false,false,false,true,1,26,70,1.3,3.2,18
NL:Q:30000314,Leerdamhof,available,bus,52.30537914143138,4.975230476206389,true,true,137,2020-05-24T22:00:00Z,haltehaven,21.5,true,false,true,true,true,2021-01-08T13:34:25Z,0.2,4.8,3,18,1.2,true,true,true,true,4,27,60,1.5,3.3,18.35
NL:Q:30001012,Schellingwouderdijk 175,available,bus,52.38583100716305,4.958310770214663,false,false,113,2020-05-24T22:00:00Z,langshalte,24,false,false,false,false,false,2021-01-08T13:34:25Z,0.01,2.7,2.7,0.01,1.1,false,false,false,false,0,,,,,
NL:Q:30001013,Schellingwouderdijk 175,available,bus,52.38573241245457,4.958385167671683,false,false,289,2020-05-24T22:00:00Z,langshalte,24,false,false,false,false,false,2021-01-08T13:34:25Z,0.01,1,1,0.01,1,false,false,false,false,0,,,,,
NL:Q:30002270,Bolstoen,available,bus,52.39178126915967,4.788544955296286,false,false,89,2020-05-24T22:00:00Z,langshalte,13.5,false,false,false,false,true,2021-01-08T13:34:25Z,0.08,1.75,4,13.5,1.5,false,false,false,false,0,,,1.8,,
NL:Q:30002320,Van Hallstraat,available,bus,52.385270870360884,4.867804960871464,true,true,90,2020-05-24T22:00:00Z,langshalte,26,true,false,true,true,true,2021-01-08T13:34:25Z,0.2,1.2,2.1,22,1.2,true,true,true,false,0,,,,3.5,
NL:Q:30002321,Van Hallstraat,available,bus,52.385418271415304,4.868625801278388,true,false,266,2020-05-24T22:00:00Z,haltehaven,24,true,false,true,true,true,2021-01-08T13:34:25Z,0.19,1.7,3.3,22,1.2,true,true,true,false,0,13,,,2.99,10
NL:Q:30004057,Hemsterhuisstraat,available,bus,52.35918365012985,4.821648077347769,true,true,269,2020-05-24T22:00:00Z,langshalte,18,true,false,true,true,true,2021-01-08T13:34:25Z,0.18,2.7,4.5,18,1.1,true,false,true,false,0,,,1.8,,
NL:Q:30004058,Hemsterhuisstraat,available,bus,52.35912165122814,4.821839708279864,true,true,89,2020-05-24T22:00:00Z,langshalte,14.1,true,false,true,true,true,2021-01-08T13:34:25Z,0.21,6.5,2.4,14.1,2.4,true,false,true,false,0,,,1.8,,
NL:Q:30004167,Langsom,available,bus,52.34169698342187,4.7930359080399985,true,false,237,2020-05-24T22:00:00Z,langshalte,17,true,false,true,true,true,2021-01-08T13:34:25Z,0.21,1.8,2.55,17,0.7,true,true,true,true,0.11,,1,1.2,,
NL:Q:30004168,Langsom,available,bus,52.341780593587536,4.793577739336568,true,true,65,2020-05-24T22:00:00Z,haltehaven,17,true,false,true,true,true,2021-01-08T13:34:25Z,0.2,1.8,0.9,17,1.5,false,true,false,true,0.08,7,0.9,1.5,3.2,9
NL:Q:30004322,Station Lelylaan,available,metro,52.35817464122276,4.834461658536106,true,true,357,2020-05-24T22:00:00Z,langshalte,120,true,true,true,false,true,2021-02-25T11:33:45Z,0.9,2.8,2.8,120,2.8,true,true,false,false,5,,,,,
NL:Q:30004323,Station Lelylaan,available,metro,52.35766140802442,4.8342625390713785,true,true,181,2020-05-24T22:00:00Z,langshalte,120,true,true,true,false,true,2021-02-25T11:33:45Z,0.9,2.28,2.28,0.01,2.28,true,true,false,false,5,,,2,,
NL:Q:30004417,Matterhorn,available,bus,52.3549884945209,4.77511135103651,false,true,220,2020-05-24T22:00:00Z,langshalte,16,true,false,false,false,true,2021-01-08T13:34:25Z,0.2,2.1,2.1,16,0.6,false,false,false,true,0.18,,,2,,
NL:Q:30004401,Matterhorn,available,tram,52.35383562939221,4.77464286963065,false,false,300,2020-05-24T22:00:00Z,langshalte,60,true,false,false,false,true,2021-01-08T13:34:25Z,0.17,2.4,2.4,59,1.2,false,false,false,false,0,,,,,
NL:Q:30004402,Matterhorn,available,tram,52.353736998320365,4.774688266252587,false,true,112,2020-05-24T22:00:00Z,langshalte,44.8,true,false,false,false,true,2021-01-08T13:34:25Z,0.2,2.4,2.7,44.8,1.2,false,false,false,true,0.2,,3,2,,
NL:Q:30004416,Matterhorn,available,bus,52.35440159377655,4.774591020332503,true,true,57,2020-05-24T22:00:00Z,langshalte,17,true,false,true,true,true,2021-01-08T13:34:25Z,0.2,1.2,1.8,17,1.2,true,true,true,false,0,,,,,
NL:Q:30004186,Osdorpplein West,available,bus,52.35921036642242,4.8030921113841005,false,false,169,2020-05-24T22:00:00Z,langshalte,20,false,false,false,false,true,2021-01-08T13:34:25Z,0.1,4.8,4.8,20,2.37,false,false,false,false,0,,,,,
NL:Q:30004021,Osdorpplein West,available,tram,52.35914796304388,4.803195693528495,false,true,171,2020-05-24T22:00:00Z,langshalte,71,true,false,false,false,true,2021-01-08T13:34:25Z,0.12,2.25,2.25,56,0.6,false,false,false,false,0,,,1.4,,
NL:Q:30004022,Osdorpplein West,available,tram,52.35960660038441,4.803248376792241,false,false,15,2020-05-24T22:00:00Z,langshalte,70,true,false,false,false,true,2021-01-08T13:34:25Z,0.13,2.3,1.95,56,0.6,false,false,true,false,0,,,1.4,,
NL:Q:30004185,Osdorpplein West,available,bus,52.3593285038766,4.803354798313809,false,false,357,2020-05-24T22:00:00Z,langshalte,20,false,false,false,false,true,2021-02-25T11:33:45Z,0.05,2,2,20,2,false,false,false,false,0,,,,,
